Name,Thai Name,Coordinates
Ko Chang,เกาะช้าง,12.06°N 102.33°E
Ko Kut,เกาะกูด,11.66°N 102.57°E
Ko Lanta Yai,เกาะลันตาใหญ่,7°35′N 99°03′E
Ko Mak,เกาะหมาก,11.819°N 102.480°E
Ko Pha Ngan,เกาะพะงัน,9°45′N 100°02′E
Ko Phi Phi Lee,เกาะพีพีเล,7.68°N 98.768°E
Ko Phi Phi Don,เกาะพีพีดอน,7.741°N 98.780°E
Ko Rang,เกาะรัง,11.80°N 102.387°E
Ko Samet,เกาะเสม็ด,12.565°N 101.45°E
Ko Samui,เกาะสมุย,9.50°N 100.00°E
Ko Tao,เกาะเต่า,10.09°N 99.838°E
Ko Tapu,เกาะตะปู,8°16′31.36″N 98°30′02.02″E
Ko Tarutao,เกาะตะรุเตา,6°35′N 99°38′E
Ko Phuket,เกาะภูเก็ต,7°58′N 98°20′E
Similan Islands,เกาะสิมิลัน,8.65°N 97.65°E
Ko Sichang,เกาะสีชัง,13.145°N 100.813°E
Ko Kham Yai,เกาะขามใหญ่,13.167°N 100.824°E
Ko Kham Noi,เกาะขามน้อย,13.1744°N 100.8301°E
Ko Ram Dok Mai,เกาะร้ามดอกไม้,13.1528°N 100.8342°E
Ko Khang Khao,เกาะค้างคาว,13.114°N 100.808°E
Ko Prong,เกาะปรง,13.1652°N 100.8330°E
Ko Yai Thao,,13.1234°N 100.8093°E
Ko Thaai Tamuen,,13.1088°N 100.8033°E
Ko Nok,เกาะนอก,13.006°N 100.8033°E
Ko Chun,,12.930°N 100.81°E
Ko Lan,เกาะล้าน,12.92°N 100.78°E
Ko Sak,เกาะสาก,12.9275°N 100.7920°E
Ko Krok,เกาะครก,12.9434°N 100.8057°E
Ko Luam,เกาะเหลื่อม,12.9581°N 100.6506°E
Ko Luam Noi,เกาะเหลื่อมน้อย,12.9566°N 100.6573°E
Ko Phai,เกาะไผ่,12.934°N 100.675°E
Ko Hu Chang,เกาะหูช้าง,12.9105°N 100.6775°E
Ko Klung Badan,เกาะกรุงบาดาล,12.9026°N 100.6796°E
Ko Man Wichai,เกาะมารวิชัย,12.8763°N 100.6742°E
Ko Rin,เกาะริน,
Ko Hin Khao,เกาะหินแก้ว,
Hin Ton Mai,,
Ko Klet Kaeo,เกาะเกล็ดแก้ว,12.761°N 100.845°E
Ko Khram,เกาะคราม,12.70°N 100.79°E
Ko Khram Noi,เกาะครามน้อย,12.727°N 100.798°E
Ko I Ra,เกาะอีร้า,12.676°N 100.823°E
Ko Tao Mo,เกาะเตาหม้อ,12°38′17″N100°52′13″E
Ko Phra,เกาะพระ,12°38′37″N100°53′17″E
Ko Phra Noi,เกาะพระน้อย,12°38′46″N100°53′15″E
Ko I Lao,เกาะอีเลา,12°36′42″N100°52′32″E
Ko Yo,เกาะยอ,12°36′59″N100°52′52″E
Ko Mu,เกาะหมู,12°37′26″N100°54′3″E
Ko Maeo,เกาะแมว,12°36′40″N100°53′21″E
Ko Nang Ram,เกาะนางรำ,12°36′59″N100°56′3″E
Ko Chorakhe,เกาะจระเข้,12°36′12″N100°55′0″E
